seed,launch_power_dbm,scenario,display_name,total_net_rate_tbps,mean_gsnr_db,mean_ber,mean_ngmi,mean_parameter_count,total_train_time_s,mean_inference_time_ms_per_channel,mean_residual_mse_improvement_percent,n_channels
1,-6.0,neural_only,Neural NLI only,2.1333333333333333,23.28441187841542,0.0,1.0,786.0,0.7031179000005068,1.1758000004192581,5.79596066699178,5
1,-6.0,pcs_only,PCS only,2.129354885190228,22.720231035542472,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-6.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.975102393383924,0.0,1.0,786.0,0.9527545000019018,1.6182400002435315,5.0932375508261,5
1,-6.0,uniform_baseline,Uniform baseline,2.1333333333333333,23.123491772771807,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-4.0,neural_only,Neural NLI only,2.1333333333333333,23.161205399462865,0.0,1.0,786.0,1.5618632000005164,1.0649400006514043,6.132410915068505,5
1,-4.0,pcs_only,PCS only,2.129354885190228,22.597864801618165,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.868954922713367,0.0,1.0,786.0,1.623629499999879,1.6433799995866138,5.457806106653565,5
1,-4.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.984463118307126,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-2.0,neural_only,Neural NLI only,2.1333333333333333,22.883794578022417,0.0,1.0,786.0,1.3828664000029676,1.2578599995322293,7.372708432858912,5
1,-2.0,pcs_only,PCS only,2.129354885190228,22.300746083247894,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.620097377879965,0.0,1.0,786.0,1.2281851999996434,1.0809599996719044,6.52454911344918,5
1,-2.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.648676640775072,0.0,1.0,0.0,0.0,0.0,0.0,5
1,0.0,neural_only,Neural NLI only,2.1333333333333333,22.23839549100699,0.0,1.0,786.0,1.3317617000011523,1.2256999994860962,9.585254861430208,5
1,0.0,pcs_only,PCS only,2.129354885190228,21.62590018344556,0.0,1.0,0.0,0.0,0.0,0.0,5
1,0.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.040187119662182,0.0,1.0,786.0,1.3672628000022087,1.5948000000207685,8.582236322034921,5
1,0.0,uniform_baseline,Uniform baseline,2.1333333333333333,21.89719619786403,0.0,1.0,0.0,0.0,0.0,0.0,5
1,2.0,neural_only,Neural NLI only,2.1333333333333333,20.951286700895515,0.0,1.0,786.0,1.1944777999997314,1.2897399999928894,12.76135215473822,5
1,2.0,pcs_only,PCS only,2.129354885190228,20.29580796020169,0.0,1.0,0.0,0.0,0.0,0.0,5
1,2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,20.86771526365002,0.0,1.0,786.0,1.1503134000013233,1.1694399996486027,11.880720286378928,5
1,2.0,uniform_baseline,Uniform baseline,2.1333333333333333,20.454489310426986,0.0,1.0,0.0,0.0,0.0,0.0,5
1,4.0,neural_only,Neural NLI only,2.1333333333333333,18.827833375130563,0.00025,1.0,786.0,1.3252363999981753,1.282579999679001,15.763598570046767,5
1,4.0,pcs_only,PCS only,2.129354885190228,18.137585297310956,0.0002504670954769889,1.0,0.0,0.0,0.0,0.0,5
1,4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,18.86627508463588,0.00015028025728619333,1.0,786.0,1.2091670999998314,1.7363999999361113,15.027445116905241,5
1,4.0,uniform_baseline,Uniform baseline,2.1333333333333333,18.180056961874765,0.00034999999999999994,1.0,0.0,0.0,0.0,0.0,5
2,-6.0,neural_only,Neural NLI only,2.1333333333333333,23.235498102547517,0.0,1.0,786.0,1.2022302000004856,1.371599999765749,5.721978407885,5
2,-6.0,pcs_only,PCS only,2.129354885190228,22.76368701715011,0.0,1.0,0.0,0.0,0.0,0.0,5
2,-6.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.92434982969462,0.0,1.0,786.0,1.3056466999987606,1.1541400002897717,5.455335124177636,5
2,-6.0,uniform_baseline,Uniform baseline,2.1333333333333333,23.000938840316998,0.0,1.0,0.0,0.0,0.0,0.0,5
2,-4.0,neural_only,Neural NLI only,2.1333333333333333,23.116591311868667,0.0,1.0,786.0,1.3474570999987918,1.5684399993915576,6.136757133352965,5
2,-4.0,pcs_only,PCS only,2.129354885190228,22.641084750157184,0.0,1.0,0.0,0.0,0.0,0.0,5
2,-4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.818054946375078,0.0,1.0,786.0,1.2895454000008613,1.3830399999278598,5.801935450837175,5
2,-4.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.862304321541142,0.0,1.0,0.0,0.0,0.0,0.0,5
2,-2.0,neural_only,Neural NLI only,2.1333333333333333,22.83781061621632,0.0,1.0,786.0,1.4087758999994549,1.0544599997956539,7.3105365407370115,5
2,-2.0,pcs_only,PCS only,2.129354885190228,22.34345047937712,0.0,1.0,0.0,0.0,0.0,0.0,5
2,-2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.56581300764806,0.0,1.0,786.0,1.286494500001936,1.305819999834057,6.763966283038073,5
2,-2.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.52769355519263,0.0,1.0,0.0,0.0,0.0,0.0,5
2,0.0,neural_only,Neural NLI only,2.1333333333333333,22.191226853773042,0.0,1.0,786.0,1.2451498999998876,1.407199999812292,9.427223161667055,5
2,0.0,pcs_only,PCS only,2.129354885190228,21.667722369135276,0.0,1.0,0.0,0.0,0.0,0.0,5
2,0.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,21.99089359933165,0.0,1.0,786.0,1.1674947999999858,1.3216200000897516,8.864251084747714,5
2,0.0,uniform_baseline,Uniform baseline,2.1333333333333333,21.77888989881933,0.0,1.0,0.0,0.0,0.0,0.0,5
2,2.0,neural_only,Neural NLI only,2.1333333333333333,20.893546454119665,0.0,1.0,786.0,1.2135871000009502,1.405479999812087,12.286776165745417,5
2,2.0,pcs_only,PCS only,2.129354885190228,20.336831641529336,0.0,1.0,0.0,0.0,0.0,0.0,5
2,2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,20.796802892179713,0.0,1.0,786.0,1.25594970000202,1.3839400005963398,11.638872679521771,5
2,2.0,uniform_baseline,Uniform baseline,2.1333333333333333,20.33935635911183,0.0,1.0,0.0,0.0,0.0,0.0,5
2,4.0,neural_only,Neural NLI only,2.1333333333333333,18.792320449247917,0.00027499999999999996,1.0,786.0,1.2376481000028434,1.435739999942598,15.669973593820597,5
2,4.0,pcs_only,PCS only,2.129354885190228,18.1786962717166,0.00022542038592928996,1.0,0.0,0.0,0.0,0.0,5
2,4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,18.785500642789366,0.00017532696683389222,1.0,786.0,1.1841841000004933,1.4269400002376642,14.545816246558502,5
2,4.0,uniform_baseline,Uniform baseline,2.1333333333333333,18.06574381405033,0.00025,1.0,0.0,0.0,0.0,0.0,5
3,-6.0,neural_only,Neural NLI only,2.1333333333333333,23.21508805234786,0.0,1.0,786.0,1.2517780999987735,1.3377600000239909,5.455649386156773,5
3,-6.0,pcs_only,PCS only,2.129354885190228,22.811968306331714,0.0,1.0,0.0,0.0,0.0,0.0,5
3,-6.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,23.006838149048605,0.0,1.0,786.0,1.1381946000001335,1.519919999918784,4.229972730483169,5
3,-6.0,uniform_baseline,Uniform baseline,2.1333333333333333,23.054168143184732,0.0,1.0,0.0,0.0,0.0,0.0,5
3,-4.0,neural_only,Neural NLI only,2.1333333333333333,23.096334591178152,0.0,1.0,786.0,1.2245801000008214,1.3619999994261889,5.897038059145041,5
3,-4.0,pcs_only,PCS only,2.129354885190228,22.690080228794052,0.0,1.0,0.0,0.0,0.0,0.0,5
3,-4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.89649713775872,0.0,1.0,786.0,1.080493600000409,1.1076199996750802,4.485847821993232,5
3,-4.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.913222918322994,0.0,1.0,0.0,0.0,0.0,0.0,5
3,-2.0,neural_only,Neural NLI only,2.1333333333333333,22.818356037855626,0.0,1.0,786.0,1.2394403999969654,1.3158200006728293,7.1361002272699725,5
3,-2.0,pcs_only,PCS only,2.129354885190228,22.393956640642134,0.0,1.0,0.0,0.0,0.0,0.0,5
3,-2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.69897730367983,0.0,1.0,786.0,1.188813000000664,1.3166800006729318,6.66473546292971,5
3,-2.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.573697138911633,0.0,1.0,0.0,0.0,0.0,0.0,5
3,0.0,neural_only,Neural NLI only,2.1333333333333333,22.177022629343817,0.0,1.0,786.0,1.2207469999993918,1.2335400006122654,9.437492081667193,5
3,0.0,pcs_only,PCS only,2.129354885190228,21.72063000026701,0.0,1.0,0.0,0.0,0.0,0.0,5
3,0.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.117590210964046,0.0,1.0,786.0,1.2884981999995944,1.258340000276803,8.630454997136662,5
3,0.0,uniform_baseline,Uniform baseline,2.1333333333333333,21.8166435254469,0.0,1.0,0.0,0.0,0.0,0.0,5
3,2.0,neural_only,Neural NLI only,2.1333333333333333,20.9001948239329,0.0,1.0,786.0,1.3057611999993242,1.4813400001003174,12.791280709741844,5
3,2.0,pcs_only,PCS only,2.129354885190228,20.391599027646453,0.0,1.0,0.0,0.0,0.0,0.0,5
3,2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,20.940251345819902,0.0,1.0,786.0,1.265905999998722,1.4835800000582822,11.779427190859634,5
3,2.0,uniform_baseline,Uniform baseline,2.1333333333333333,20.368617063140487,0.0,1.0,0.0,0.0,0.0,0.0,5
3,4.0,neural_only,Neural NLI only,2.1333333333333333,18.781165661565534,0.00027499999999999996,1.0,786.0,1.2409663000016735,1.3816599996061996,15.854149598773594,5
3,4.0,pcs_only,PCS only,2.129354885190228,18.23280191967856,5.009341909539777e-05,1.0,0.0,0.0,0.0,0.0,5
3,4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,18.947799432876085,0.00010018683819079555,1.0,786.0,1.2597171000015805,1.3223000005382346,15.093556569698624,5
3,4.0,uniform_baseline,Uniform baseline,2.1333333333333333,18.09230907108475,0.00022500000000000002,1.0,0.0,0.0,0.0,0.0,5
4,-6.0,neural_only,Neural NLI only,2.1333333333333333,23.2271075687541,0.0,1.0,786.0,1.2947409999997035,1.159899999765912,5.699007401032663,5
4,-6.0,pcs_only,PCS only,2.129354885190228,22.82352055036154,0.0,1.0,0.0,0.0,0.0,0.0,5
4,-6.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,23.035583273431502,0.0,1.0,786.0,1.2028980999984924,1.2417400001140777,5.415743041422272,5
4,-6.0,uniform_baseline,Uniform baseline,2.1333333333333333,23.065182195894558,0.0,1.0,0.0,0.0,0.0,0.0,5
4,-4.0,neural_only,Neural NLI only,2.1333333333333333,23.11074178782973,0.0,1.0,786.0,1.2388156999986677,1.1916400002519367,6.194348457573722,5
4,-4.0,pcs_only,PCS only,2.129354885190228,22.70117346095639,0.0,1.0,0.0,0.0,0.0,0.0,5
4,-4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.933674524769412,0.0,1.0,786.0,1.1944041999995534,1.6403200002969243,5.87237200731332,5
4,-4.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.926331000754924,0.0,1.0,0.0,0.0,0.0,0.0,5
4,-2.0,neural_only,Neural NLI only,2.1333333333333333,22.823382646580264,0.0,1.0,786.0,1.2546433999996225,1.3648000000102911,7.234910195753999,5
4,-2.0,pcs_only,PCS only,2.129354885190228,22.404164288574286,0.0,1.0,0.0,0.0,0.0,0.0,5
4,-2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.681984879105975,0.0,1.0,786.0,1.3348934999994526,1.5038000001368346,6.87278753931704,5
4,-2.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.591382865562263,0.0,1.0,0.0,0.0,0.0,0.0,5
4,0.0,neural_only,Neural NLI only,2.1333333333333333,22.17272553141139,0.0,1.0,786.0,1.3280351999983395,1.3302600003953557,9.341049267642951,5
4,0.0,pcs_only,PCS only,2.129354885190228,21.72964000319074,0.0,1.0,0.0,0.0,0.0,0.0,5
4,0.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.100546223748555,0.0,1.0,786.0,1.2222070999978314,1.2735399996017804,8.879205287771377,5
4,0.0,uniform_baseline,Uniform baseline,2.1333333333333333,21.842645354398673,0.0,1.0,0.0,0.0,0.0,0.0,5
4,2.0,neural_only,Neural NLI only,2.1333333333333333,20.895464430402882,0.0,1.0,786.0,1.2679343999989214,1.9584400004532656,12.690495996308162,5
4,2.0,pcs_only,PCS only,2.129354885190228,20.399944159511787,0.0,1.0,0.0,0.0,0.0,0.0,5
4,2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,20.920686121394972,0.0,1.0,786.0,1.1806089999990945,1.012760000230628,11.984793663121962,5
4,2.0,uniform_baseline,Uniform baseline,2.1333333333333333,20.404720364869494,0.0,1.0,0.0,0.0,0.0,0.0,5
4,4.0,neural_only,Neural NLI only,2.1333333333333333,18.774192201270868,0.00032500000000000004,1.0,786.0,1.1998815999995713,1.1687600006553112,15.693401891348987,5
4,4.0,pcs_only,PCS only,2.129354885190228,18.24183285616244,0.0001502802572861933,1.0,0.0,0.0,0.0,0.0,5
4,4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,18.916233487303547,0.0001502802572861933,1.0,786.0,1.3214290999985678,1.3624999999592546,15.03139404061129,5
4,4.0,uniform_baseline,Uniform baseline,2.1333333333333333,18.133472409474166,0.00027499999999999996,1.0,0.0,0.0,0.0,0.0,5
5,-6.0,neural_only,Neural NLI only,2.1333333333333333,23.285157784971897,0.0,1.0,786.0,1.2989217999984248,1.442220000171801,5.37839964472983,5
5,-6.0,pcs_only,PCS only,2.129354885190228,22.784147491677693,0.0,1.0,0.0,0.0,0.0,0.0,5
5,-6.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.965950947294846,0.0,1.0,786.0,1.2050070999976015,1.1951800002862,5.476014444503425,5
5,-6.0,uniform_baseline,Uniform baseline,2.1333333333333333,23.055134748574112,0.0,1.0,0.0,0.0,0.0,0.0,5
5,-4.0,neural_only,Neural NLI only,2.1333333333333333,23.16598204793128,0.0,1.0,786.0,1.1796424000003753,1.101800000105868,5.768048096277805,5
5,-4.0,pcs_only,PCS only,2.129354885190228,22.6616901889342,0.0,1.0,0.0,0.0,0.0,0.0,5
5,-4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.85987752311345,0.0,1.0,786.0,1.2397631999992882,1.2417399997502798,5.827901360387659,5
5,-4.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.917176078733867,0.0,1.0,0.0,0.0,0.0,0.0,5
5,-2.0,neural_only,Neural NLI only,2.1333333333333333,22.877402747197166,0.0,1.0,786.0,1.2117863000003126,1.259359999676235,6.698295364255529,5
5,-2.0,pcs_only,PCS only,2.129354885190228,22.36423833973324,0.0,1.0,0.0,0.0,0.0,0.0,5
5,-2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.604643914616354,0.0,1.0,786.0,1.245420600000216,1.1314200000924757,6.72167731238045,5
5,-2.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.583777180617023,0.0,1.0,0.0,0.0,0.0,0.0,5
5,0.0,neural_only,Neural NLI only,2.1333333333333333,22.231496194492234,0.0,1.0,786.0,1.2390244000016537,1.5618800000083866,8.793626281468232,5
5,0.0,pcs_only,PCS only,2.129354885190228,21.688439135823877,0.0,1.0,0.0,0.0,0.0,0.0,5
5,0.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.028114860109525,0.0,1.0,786.0,1.2152444000021205,1.2872800005425233,8.778148430386207,5
5,0.0,uniform_baseline,Uniform baseline,2.1333333333333333,21.836398396199463,0.0,1.0,0.0,0.0,0.0,0.0,5
5,2.0,neural_only,Neural NLI only,2.1333333333333333,20.94157193757551,0.0,1.0,786.0,1.2142403000016202,1.4981000000261702,11.803904578928336,5
5,2.0,pcs_only,PCS only,2.129354885190228,20.35691182861388,0.0,1.0,0.0,0.0,0.0,0.0,5
5,2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,20.842928514591428,0.0,1.0,786.0,1.1038764999993873,1.077340000483673,11.724375971887047,5
5,2.0,uniform_baseline,Uniform baseline,2.1333333333333333,20.397378227394587,0.0,1.0,0.0,0.0,0.0,0.0,5
5,4.0,neural_only,Neural NLI only,2.1333333333333333,18.812818823095824,0.00032500000000000004,1.0,786.0,1.211836399997992,1.3830000003508758,14.68032494479355,5
5,4.0,pcs_only,PCS only,2.129354885190228,18.198219442079644,0.0001502802572861933,1.0,0.0,0.0,0.0,0.0,5
5,4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,18.83522019247593,0.00010018683819079553,1.0,786.0,1.3247029000012844,1.4995200002886122,14.701093800655249,5
5,4.0,uniform_baseline,Uniform baseline,2.1333333333333333,18.122778739165433,0.0004,1.0,0.0,0.0,0.0,0.0,5
