seed,regime,launch_power_dbm,band,spans,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps
1,easy,-2.0,C,6,Raw,raw,4.0,1.0,0.0,27.181354392490974,0.4266666666666667
1,easy,-2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.196263020775916,0.4266666666666667
1,easy,-2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.367973202580664,0.4266666666666667
1,easy,-2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.456224418970248,0.4266666666666667
1,easy,-2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.55635060068003,0.4266666666666667
1,easy,0.0,C,6,Raw,raw,4.0,1.0,0.0,27.200025911601703,0.4266666666666667
1,easy,0.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.20508039559204,0.4266666666666667
1,easy,0.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.455822583211173,0.4266666666666667
1,easy,0.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.482061529311498,0.4266666666666667
1,easy,0.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.369161171533232,0.4266666666666667
1,easy,2.0,C,6,Raw,raw,4.0,1.0,0.0,27.11293865937688,0.4266666666666667
1,easy,2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.117908366816728,0.4266666666666667
1,easy,2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.68637363644312,0.4266666666666667
1,easy,2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.45132777468424,0.4266666666666667
1,easy,2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.455593371859244,0.4266666666666667
1,easy,4.0,C,6,Raw,raw,4.0,1.0,0.0,26.82238671300545,0.4266666666666667
1,easy,4.0,C,6,Linear EQ,linear,4.0,1.0,0.0,26.842806084141493,0.4266666666666667
1,easy,4.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.768376878427173,0.4266666666666667
1,easy,4.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.2780919995645,0.4266666666666667
1,easy,4.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.574510429934353,0.4266666666666667
1,medium,-2.0,C,6,Raw,raw,3.999999729980451,0.9999999324951128,0.0,20.350192248549487,0.4266666378645815
1,medium,-2.0,C,6,Linear EQ,linear,3.9999997284366478,0.9999999321091619,0.0,20.351041572232226,0.42666663769990915
1,medium,-2.0,C,6,DBP-like,dbp_like,3.999997240478825,0.9999993101197062,0.0,20.011658279950836,0.42666637231774135
1,medium,-2.0,C,6,Polynomial NLC,poly_nlc,3.999998322993757,0.9999995807484392,0.0,20.911734845663105,0.42666648778600075
1,medium,-2.0,C,6,Neural residual,neural_residual,3.999999999897559,0.9999999999743897,0.0,24.050566878543,0.4266666666557396
1,medium,0.0,C,6,Raw,raw,3.9999999081424322,0.9999999770356081,0.0,20.28451195720735,0.4266666568685261
1,medium,0.0,C,6,Linear EQ,linear,3.9999999143433405,0.9999999785858351,0.0,20.28829053019652,0.4266666575299563
1,medium,0.0,C,6,DBP-like,dbp_like,3.999999022888775,0.9999997557221938,0.0,20.079360344025943,0.4266665624414694
1,medium,0.0,C,6,Polynomial NLC,poly_nlc,3.9999618335783604,0.9999904583945901,0.0,20.905712774155955,0.42666259558169184
1,medium,0.0,C,6,Neural residual,neural_residual,3.999999999724181,0.9999999999310453,0.0,24.857652305478485,0.426666666637246
1,medium,2.0,C,6,Raw,raw,3.9998639189813177,0.9999659797453294,2.777777777777778e-05,20.088206204250604,0.4266521513580072
1,medium,2.0,C,6,Linear EQ,linear,3.999859526801873,0.9999648817004683,2.777777777777778e-05,20.08823701668375,0.4266516828588665
1,medium,2.0,C,6,DBP-like,dbp_like,3.999925117003934,0.9999812792509835,0.0,20.096808145753702,0.42665867914708633
1,medium,2.0,C,6,Polynomial NLC,poly_nlc,3.999139293802934,0.9997848234507335,2.777777777777778e-05,20.889618587927636,0.4265748580056463
1,medium,2.0,C,6,Neural residual,neural_residual,3.9978055951238245,0.9994513987809561,2.777777777777778e-05,25.27414644086152,0.42643259681320794
1,medium,4.0,C,6,Raw,raw,3.9999737294477287,0.9999934323619322,0.0,19.66708998512299,0.4266638644744244
1,medium,4.0,C,6,Linear EQ,linear,3.999976628406645,0.9999941571016613,0.0,19.667715607677923,0.42666417369670884
1,medium,4.0,C,6,DBP-like,dbp_like,3.999986580026544,0.999996645006636,0.0,19.98752741809937,0.42666523520283134
1,medium,4.0,C,6,Polynomial NLC,poly_nlc,3.9996928324891536,0.9999232081222884,2.777777777777778e-05,20.76834383472354,0.42663390213217645
1,medium,4.0,C,6,Neural residual,neural_residual,3.9986118672437216,0.9996529668109304,2.777777777777778e-05,23.70045734987722,0.42651859917266366
1,hard,-2.0,C,6,Raw,raw,3.9091806933804274,0.9772951733451068,0.005361111111111111,15.027256400424285,0.41697927396057893
1,hard,-2.0,C,6,Linear EQ,linear,3.9101087468893048,0.9775271867223262,0.00525,15.028054052783908,0.41707826633485917
1,hard,-2.0,C,6,DBP-like,dbp_like,3.911396439048591,0.9778491097621478,0.005611111111111111,15.054902766773978,0.41721562016518304
1,hard,-2.0,C,6,Polynomial NLC,poly_nlc,3.867439769050125,0.9668599422625312,0.007361111111111111,15.90912212029748,0.41252690869868003
1,hard,-2.0,C,6,Neural residual,neural_residual,3.810591958663491,0.9526479896658727,0.005527777777777778,18.33325408059696,0.406463142257439
1,hard,0.0,C,6,Raw,raw,3.915455094581854,0.9788637736454635,0.00525,14.9201869200663,0.4176485434220645
1,hard,0.0,C,6,Linear EQ,linear,3.915364042612466,0.9788410106531165,0.00525,14.920335194440167,0.4176388312119964
1,hard,0.0,C,6,DBP-like,dbp_like,3.9197881775360894,0.9799470443840224,0.004944444444444444,15.04304116699827,0.41811073893718287
1,hard,0.0,C,6,Polynomial NLC,poly_nlc,3.878407408737009,0.9696018521842522,0.006888888888888889,15.903112494585008,0.413696790265281
1,hard,0.0,C,6,Neural residual,neural_residual,3.826921605211276,0.956730401302819,0.005138888888888889,18.20506100833682,0.4082049712225361
1,hard,2.0,C,6,Raw,raw,3.874035162611724,0.968508790652931,0.00825,14.513008112361474,0.4132304173452506
1,hard,2.0,C,6,Linear EQ,linear,3.8743286631898783,0.9685821657974696,0.008222222222222223,14.51315241377313,0.413261724073587
1,hard,2.0,C,6,DBP-like,dbp_like,3.891054434702281,0.9727636086755702,0.0069722222222222225,14.788084303993914,0.41504580636824334
1,hard,2.0,C,6,Polynomial NLC,poly_nlc,3.865074211483069,0.9662685528707673,0.007694444444444445,15.780324296723801,0.41227458255819405
1,hard,2.0,C,6,Neural residual,neural_residual,3.783201007351378,0.9458002518378446,0.005861111111111111,18.07525622944275,0.40354144078414705
1,hard,4.0,C,6,Raw,raw,3.7716071226010275,0.9429017806502569,0.013777777777777778,13.615230859598245,0.4023047597441096
1,hard,4.0,C,6,Linear EQ,linear,3.772868991919545,0.9432172479798863,0.01361111111111111,13.61600322948983,0.4024393591380848
1,hard,4.0,C,6,DBP-like,dbp_like,3.814648837389532,0.953662209347383,0.011,14.02968760126834,0.4068958759882168
1,hard,4.0,C,6,Polynomial NLC,poly_nlc,3.8163908038090044,0.9540977009522511,0.010166666666666666,15.394888678778658,0.40708168573962716
1,hard,4.0,C,6,Neural residual,neural_residual,3.7631941554227524,0.9407985388556881,0.008305555555555556,16.844004751257263,0.40140737657842696
2,easy,-2.0,C,6,Raw,raw,4.0,1.0,0.0,27.157226520276204,0.4266666666666667
2,easy,-2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.16977998701612,0.4266666666666667
2,easy,-2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.36722999988622,0.4266666666666667
2,easy,-2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.399359702278723,0.4266666666666667
2,easy,-2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,30.00876879758699,0.4266666666666667
2,easy,0.0,C,6,Raw,raw,4.0,1.0,0.0,27.072085612232687,0.4266666666666667
2,easy,0.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.17466570646675,0.4266666666666667
2,easy,0.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.438264906400203,0.4266666666666667
2,easy,0.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.40341308928196,0.4266666666666667
2,easy,0.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.865937234101843,0.4266666666666667
2,easy,2.0,C,6,Raw,raw,4.0,1.0,0.0,27.15951996284712,0.4266666666666667
2,easy,2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.15891876890515,0.4266666666666667
2,easy,2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.65932139812896,0.4266666666666667
2,easy,2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.484659464064272,0.4266666666666667
2,easy,2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.583345864404976,0.4266666666666667
2,easy,4.0,C,6,Raw,raw,4.0,1.0,0.0,26.870961233238745,0.4266666666666667
2,easy,4.0,C,6,Linear EQ,linear,4.0,1.0,0.0,26.873537612596547,0.4266666666666667
2,easy,4.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.822081369843737,0.4266666666666667
2,easy,4.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.361074939941506,0.4266666666666667
2,easy,4.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,30.007655368750545,0.4266666666666667
2,medium,-2.0,C,6,Raw,raw,3.999990227309725,0.9999975568274313,0.0,20.353918032273057,0.4266656242463707
2,medium,-2.0,C,6,Linear EQ,linear,3.9999909784243677,0.9999977446060919,0.0,20.36030403425428,0.4266657043652659
2,medium,-2.0,C,6,DBP-like,dbp_like,3.9999714690845583,0.9999928672711396,0.0,20.047469987985043,0.4266636233690196
2,medium,-2.0,C,6,Polynomial NLC,poly_nlc,3.999363535999226,0.9998408839998065,5.555555555555556e-05,20.882084958311573,0.4265987771732508
2,medium,-2.0,C,6,Neural residual,neural_residual,3.9988557250315537,0.9997139312578884,2.777777777777778e-05,25.469687574993912,0.4265446106700324
2,medium,0.0,C,6,Raw,raw,3.9999931991036406,0.9999982997759101,0.0,20.27057840501731,0.42666594123772167
2,medium,0.0,C,6,Linear EQ,linear,3.9999925545055715,0.9999981386263929,0.0,20.271393215386073,0.4266658724805943
2,medium,0.0,C,6,DBP-like,dbp_like,3.99999152061304,0.99999788015326,0.0,20.088657410150994,0.4266657621987243
2,medium,0.0,C,6,Polynomial NLC,poly_nlc,3.999985316771234,0.9999963291928085,0.0,20.80984256684086,0.4266651004555983
2,medium,0.0,C,6,Neural residual,neural_residual,3.9988196116476247,0.9997049029119062,2.777777777777778e-05,24.512434470311607,0.42654075857574664
2,medium,2.0,C,6,Raw,raw,3.9999995845892578,0.9999998961473144,0.0,20.040340202799044,0.4266666223561875
2,medium,2.0,C,6,Linear EQ,linear,3.9999996214145783,0.9999999053536446,0.0,20.041243953486422,0.42666662628422175
2,medium,2.0,C,6,DBP-like,dbp_like,3.999999068144498,0.9999997670361245,0.0,20.065444461610575,0.42666656726874647
2,medium,2.0,C,6,Polynomial NLC,poly_nlc,3.99999844906811,0.9999996122670275,0.0,20.770574017253438,0.42666650123393174
2,medium,2.0,C,6,Neural residual,neural_residual,3.999999998086917,0.9999999995217292,0.0,24.631651239118998,0.4266666664626045
2,medium,4.0,C,6,Raw,raw,3.999969307877546,0.9999923269693864,0.0,19.596589943699964,0.42666339284027155
2,medium,4.0,C,6,Linear EQ,linear,3.9999714284596743,0.9999928571149186,0.0,19.598002139158574,0.4266636190356986
2,medium,4.0,C,6,DBP-like,dbp_like,3.9999955629973627,0.9999988907493407,0.0,19.950836052728324,0.4266661933863854
2,medium,4.0,C,6,Polynomial NLC,poly_nlc,3.9999434530571345,0.9999858632642836,0.0,20.69409530687665,0.426660634992761
2,medium,4.0,C,6,Neural residual,neural_residual,3.9999999914383286,0.9999999978595822,0.0,24.20823364762765,0.42666666575342177
2,hard,-2.0,C,6,Raw,raw,3.918910081953846,0.9797275204884615,0.005055555555555555,15.01813521505309,0.41801707540841027
2,hard,-2.0,C,6,Linear EQ,linear,3.919628389926638,0.9799070974816595,0.005055555555555555,15.018535401479099,0.4180936949255081
2,hard,-2.0,C,6,DBP-like,dbp_like,3.922825785012455,0.9807064462531138,0.004888888888888889,15.049553668406787,0.41843475040132855
2,hard,-2.0,C,6,Polynomial NLC,poly_nlc,3.8954751021648737,0.9738687755412184,0.006277777777777778,15.905395573222695,0.41551734423091985
2,hard,-2.0,C,6,Neural residual,neural_residual,3.8470433090835696,0.9617608272708924,0.004611111111111111,18.462927123961546,0.41035128630224743
2,hard,0.0,C,6,Raw,raw,3.8981325843459382,0.9745331460864846,0.006638888888888889,14.905514546858225,0.4158008089969001
2,hard,0.0,C,6,Linear EQ,linear,3.900597223311108,0.975149305827777,0.006388888888888889,14.911411566557947,0.4160637038198516
2,hard,0.0,C,6,DBP-like,dbp_like,3.9047996567670276,0.9761999141917569,0.005916666666666666,15.00308005346351,0.4165119633884829
2,hard,0.0,C,6,Polynomial NLC,poly_nlc,3.860109135455025,0.9650272838637562,0.008,15.8675858399204,0.411744974448536
2,hard,0.0,C,6,Neural residual,neural_residual,3.8114688444598084,0.9528672111149521,0.00575,18.056753001273943,0.40655667674237955
2,hard,2.0,C,6,Raw,raw,3.887689680265712,0.971922420066428,0.007416666666666667,14.545622297364547,0.4146868992283427
2,hard,2.0,C,6,Linear EQ,linear,3.888778073399666,0.9721945183499165,0.007305555555555556,14.544483133157335,0.4148029944959644
2,hard,2.0,C,6,DBP-like,dbp_like,3.9041899908184297,0.9760474977046074,0.006166666666666667,14.827099760128213,0.4164469323539658
2,hard,2.0,C,6,Polynomial NLC,poly_nlc,3.88192576484584,0.97048144121146,0.006722222222222222,15.857056602514529,0.4140720815835563
2,hard,2.0,C,6,Neural residual,neural_residual,3.8459649565640555,0.9614912391410139,0.005111111111111111,17.965349643797573,0.4102362620334993
2,hard,4.0,C,6,Raw,raw,3.7792728232171138,0.9448182058042784,0.014361111111111111,13.599289223700177,0.4031224344764922
2,hard,4.0,C,6,Linear EQ,linear,3.779716320559491,0.9449290801398728,0.014277777777777778,13.599110646166858,0.4031697408596791
2,hard,4.0,C,6,DBP-like,dbp_like,3.825556524716121,0.9563891311790302,0.010694444444444444,14.038447679509984,0.40805936263638626
2,hard,4.0,C,6,Polynomial NLC,poly_nlc,3.8264498180670725,0.9566124545167681,0.009888888888888888,15.417664543328778,0.4081546472604877
2,hard,4.0,C,6,Neural residual,neural_residual,3.7360865841412636,0.9340216460353159,0.007833333333333333,17.390455348705483,0.39851590230840145
3,easy,-2.0,C,6,Raw,raw,4.0,1.0,0.0,27.197183479533138,0.4266666666666667
3,easy,-2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.195818228103676,0.4266666666666667
3,easy,-2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.343734847509776,0.4266666666666667
3,easy,-2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.435075033378958,0.4266666666666667
3,easy,-2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.312896967377483,0.4266666666666667
3,easy,0.0,C,6,Raw,raw,4.0,1.0,0.0,27.092659700531602,0.4266666666666667
3,easy,0.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.098563161216433,0.4266666666666667
3,easy,0.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.437935513067536,0.4266666666666667
3,easy,0.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.360013146198185,0.4266666666666667
3,easy,0.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.89348974696756,0.4266666666666667
3,easy,2.0,C,6,Raw,raw,4.0,1.0,0.0,27.055436710671795,0.4266666666666667
3,easy,2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.059582785002846,0.4266666666666667
3,easy,2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.575716150800464,0.4266666666666667
3,easy,2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.360161549836732,0.4266666666666667
3,easy,2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.322464130975625,0.4266666666666667
3,easy,4.0,C,6,Raw,raw,4.0,1.0,0.0,26.867538055655963,0.4266666666666667
3,easy,4.0,C,6,Linear EQ,linear,4.0,1.0,0.0,26.902450931840104,0.4266666666666667
3,easy,4.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.82341917089956,0.4266666666666667
3,easy,4.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.350496386375006,0.4266666666666667
3,easy,4.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.778696754890248,0.4266666666666667
3,medium,-2.0,C,6,Raw,raw,3.999950630574162,0.9999876576435405,0.0,20.338916536115743,0.42666140059457724
3,medium,-2.0,C,6,Linear EQ,linear,3.999949894976548,0.999987473744137,0.0,20.34006498055193,0.42666132213083185
3,medium,-2.0,C,6,DBP-like,dbp_like,3.99999381772976,0.99999845443244,0.0,20.005790413088633,0.4266660072245077
3,medium,-2.0,C,6,Polynomial NLC,poly_nlc,3.9999804740191056,0.9999951185047764,0.0,20.88033837757397,0.42666458389537126
3,medium,-2.0,C,6,Neural residual,neural_residual,3.999999999923677,0.9999999999809193,0.0,25.058509765609436,0.4266666666585256
3,medium,0.0,C,6,Raw,raw,3.999989918396463,0.9999974795991158,0.0,20.26390207147349,0.42666559129562276
3,medium,0.0,C,6,Linear EQ,linear,3.99999002608424,0.99999750652106,0.0,20.264581745035848,0.42666560278231896
3,medium,0.0,C,6,DBP-like,dbp_like,3.9999791738635238,0.9999947934658809,0.0,20.092319223633023,0.4266644452121093
3,medium,0.0,C,6,Polynomial NLC,poly_nlc,3.999970846359298,0.9999927115898245,0.0,20.863527238932697,0.4266635569449918
3,medium,0.0,C,6,Neural residual,neural_residual,3.999999992990377,0.9999999982475942,0.0,24.359887490805406,0.42666666591897356
3,medium,2.0,C,6,Raw,raw,3.999964487721481,0.9999911219303702,0.0,20.096940592217333,0.42666287869029135
3,medium,2.0,C,6,Linear EQ,linear,3.99996147023351,0.9999903675583774,0.0,20.097176832130938,0.4266625568249078
3,medium,2.0,C,6,DBP-like,dbp_like,3.9999802154288138,0.9999950538572034,0.0,20.120738755700486,0.42666455631240685
3,medium,2.0,C,6,Polynomial NLC,poly_nlc,3.9996588228913903,0.9999147057228476,2.777777777777778e-05,20.801412934914264,0.4266302744417483
3,medium,2.0,C,6,Neural residual,neural_residual,3.999999993934505,0.9999999984836262,0.0,25.034792633400524,0.42666666601968056
3,medium,4.0,C,6,Raw,raw,3.99986177802619,0.9999654445065475,2.777777777777778e-05,19.64464697105443,0.42665192298946025
3,medium,4.0,C,6,Linear EQ,linear,3.9998744031292817,0.9999686007823204,2.777777777777778e-05,19.646075671816728,0.42665326966712336
3,medium,4.0,C,6,DBP-like,dbp_like,3.999997016535316,0.999999254133829,0.0,19.931430685621528,0.4266663484304337
3,medium,4.0,C,6,Polynomial NLC,poly_nlc,3.9999147072930885,0.9999786768232721,0.0,20.70170353249145,0.42665756877792943
3,medium,4.0,C,6,Neural residual,neural_residual,3.999999999767238,0.9999999999418095,0.0,25.19023279471616,0.4266666666418387
3,hard,-2.0,C,6,Raw,raw,3.9215321994629937,0.9803830498657484,0.005111111111111111,15.050909585380829,0.41829676794271936
3,hard,-2.0,C,6,Linear EQ,linear,3.921323254028156,0.980330813507039,0.005055555555555555,15.049285285571639,0.41827448042966997
3,hard,-2.0,C,6,DBP-like,dbp_like,3.9203107383040665,0.9800776845760166,0.004916666666666666,15.065043519591786,0.4181664787524338
3,hard,-2.0,C,6,Polynomial NLC,poly_nlc,3.887598789034758,0.9718996972586895,0.0064444444444444445,15.897344691141562,0.4146772041637075
3,hard,-2.0,C,6,Neural residual,neural_residual,3.8269783824840644,0.9567445956210161,0.004833333333333334,18.520555664776964,0.4082110274649669
3,hard,0.0,C,6,Raw,raw,3.9037948198210923,0.9759487049552731,0.006333333333333333,14.823532332023442,0.41640478078091653
3,hard,0.0,C,6,Linear EQ,linear,3.904235221645916,0.976058805411479,0.006305555555555556,14.823840124364406,0.4164517569755644
3,hard,0.0,C,6,DBP-like,dbp_like,3.910392616785537,0.9775981541963843,0.005916666666666666,14.933857374114801,0.41710854579045736
3,hard,0.0,C,6,Polynomial NLC,poly_nlc,3.8706418371389404,0.9676604592847351,0.007305555555555556,15.864332853588172,0.41286846262815363
3,hard,0.0,C,6,Neural residual,neural_residual,3.8164187006462353,0.9541046751615588,0.005194444444444444,18.221473779543643,0.4070846614022651
3,hard,2.0,C,6,Raw,raw,3.863228324071936,0.965807081017984,0.00836111111111111,14.469201610580955,0.41207768790100646
3,hard,2.0,C,6,Linear EQ,linear,3.863817306458987,0.9659543266147468,0.008444444444444444,14.469420296050595,0.4121405126889587
3,hard,2.0,C,6,DBP-like,dbp_like,3.879323115428426,0.9698307788571064,0.0075,14.723222953040754,0.4137944656456988
3,hard,2.0,C,6,Polynomial NLC,poly_nlc,3.8442461467121225,0.9610615366780306,0.008472222222222223,15.644965974493338,0.4100529223159597
3,hard,2.0,C,6,Neural residual,neural_residual,3.7830104328553062,0.9457526082138266,0.006583333333333333,17.954302838879865,0.4035211128378994
3,hard,4.0,C,6,Raw,raw,3.7833998738645938,0.9458499684661484,0.01275,13.67610187212106,0.4035626532122234
3,hard,4.0,C,6,Linear EQ,linear,3.785246895970414,0.9463117239926035,0.012583333333333334,13.677317169890774,0.40375966890351084
3,hard,4.0,C,6,DBP-like,dbp_like,3.8270527681760145,0.9567631920440036,0.010583333333333333,14.097413730414747,0.4082189619387749
3,hard,4.0,C,6,Polynomial NLC,poly_nlc,3.830881875193504,0.957720468798376,0.009444444444444445,15.475821302320043,0.40862740002064046
3,hard,4.0,C,6,Neural residual,neural_residual,3.7627354508055015,0.9406838627013754,0.007722222222222222,17.394459539863835,0.40135844808592014
