seed,pcs_nu,shaped,display_name,scenario,band,spans,launch_power_dbm,stress_name,gmi,ngmi,ber,gsnr_db,rate_tbps,train_time_s,inference_time_s,parameter_count
1,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.1828824005758185,0.7957206001439546,0.047393798828125,10.719332722415682,0.33950745606142063,0.0,0.0,0
1,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.575926051818687,0.8939815129546718,0.023162841796875,13.141626153614103,0.3814321121939933,1.9322689999971772,0.007307599997147918,7538
1,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1663728243499603,0.7915932060874901,0.0487060546875,10.549943137915177,0.3377464345973291,0.0,0.0,0
1,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2022933521915014,0.8005733380478753,0.048828125,10.640942536917773,0.34157795756709347,0.0,0.0,0
1,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.20260326091953,0.8006508152298825,0.0455322265625,10.501324364392612,0.3416110144980832,0.0,0.0,0
1,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.594449070158763,0.8986122675396907,0.022491455078125,12.90448589764237,0.38340790081693477,2.1069430999996257,0.01023979999445146,7538
1,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1910689333238045,0.7977672333309511,0.047760009765625,10.411097848570288,0.3403806862212058,0.0,0.0,0
1,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.536209868139277,0.8840524670348192,0.026580810546875,12.485407676224822,0.37719571926818957,1.5636092999993707,0.008456200004729908,7538
1,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2490901415678453,0.8122725353919613,0.0430908203125,10.539127236861987,0.3465696151005702,0.0,0.0,0
1,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.6073526634416115,0.9018381658604029,0.022125244140625,12.83999389134589,0.3847842841004386,1.9041293000045698,0.008155300005455501,7538
1,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2462467206032866,0.8115616801508216,0.044281005859375,10.520909423290462,0.3462663168643506,0.0,0.0,0
1,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2330429078213414,0.8082607269553354,0.04541015625,10.348920777703494,0.3448579101676098,0.0,0.0,0
2,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.2186796340710044,0.8046699085177511,0.0462646484375,10.840427534540728,0.34332582763424047,0.0,0.0,0
2,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.5740864914338317,0.8935216228584579,0.022216796875,13.189497885575888,0.3812358924196087,2.936328899995715,0.010751800000434741,7538
2,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1841883850321153,0.7960470962580288,0.04742431640625,10.495486834779014,0.33964676107009234,0.0,0.0,0
2,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.190538396770193,0.7976345991925482,0.046905517578125,10.536962325143321,0.34032409565548727,0.0,0.0,0
2,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.205532033677869,0.8013830084194673,0.045318603515625,10.597735975370357,0.3419234169256394,0.0,0.0,0
2,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5796096482723185,0.8949024120680796,0.023590087890625,12.905853776371831,0.3818250291490473,2.3649268000008306,0.011323899998387787,7538
2,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2341413495805797,0.8085353373951449,0.04412841796875,10.518060634402623,0.3449750772885952,0.0,0.0,0
2,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.579313364793005,0.8948283411982513,0.02288818359375,12.559590351237077,0.3817934255779205,1.5132268000015756,0.01030269999318989,7538
2,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.24112483091783,0.8102812077294576,0.0460205078125,10.57427733345126,0.34571998196456855,0.0,0.0,0
2,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5797642579192233,0.8949410644798058,0.023773193359375,12.652054510438951,0.3818415208447172,1.6747255000009318,0.010985100001562387,7538
2,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2088776607462406,0.8022194151865601,0.046417236328125,10.289531831208906,0.34228028381293235,0.0,0.0,0
2,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2249029532607025,0.8062257383151756,0.046783447265625,10.411197965035194,0.34398964834780826,0.0,0.0,0
3,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.1651893222042786,0.7912973305510697,0.04962158203125,10.66443551974954,0.33762019436845636,0.0,0.0,0
3,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.5380905439585,0.884522635989625,0.025787353515625,12.791414498486724,0.37739632468890666,1.6976490000015474,0.011799200001405552,7538
3,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2142021570440953,0.8035505392610238,0.046478271484375,10.704409523960498,0.34284823008470355,0.0,0.0,0
3,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.247296695692998,0.8118241739232495,0.04412841796875,10.73624388347823,0.3463783142072531,0.0,0.0,0
3,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.190108978496236,0.797527244624059,0.04669189453125,10.48481295320376,0.3402782910395985,0.0,0.0,0
3,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5575305482556523,0.8893826370639131,0.024566650390625,12.723364802034427,0.37946992514726957,1.8606823999944027,0.006906000002345536,7538
3,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.197319701079918,0.7993299252699795,0.047393798828125,10.538489012919385,0.3410474347818579,0.0,0.0,0
3,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.562306257415181,0.8905765643537953,0.025146484375,12.60910770595948,0.37997933412428603,1.640825299997232,0.00856779999594437,7538
3,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.204608656996718,0.8011521642491795,0.04547119140625,10.407129942106613,0.34182492341298326,0.0,0.0,0
3,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.554942075612301,0.8887355189030752,0.02252197265625,12.703069375159055,0.37919382139864544,2.115229199996975,0.008604999995441176,7538
3,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2090909644126677,0.8022727411031669,0.044891357421875,10.406175376828442,0.34230303620401786,0.0,0.0,0
3,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2122359099412834,0.8030589774853208,0.0460205078125,10.243511253812718,0.34263849706040356,0.0,0.0,0
4,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.1776340364622584,0.7944085091155646,0.0487060546875,10.674859949449473,0.33894763055597427,0.0,0.0,0
4,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.5513190294428267,0.8878297573607067,0.02398681640625,12.989036771570293,0.3788073631405682,1.7687599999990198,0.0076323999965097755,7538
4,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1961490933570302,0.7990372733392576,0.047760009765625,10.629694249549239,0.34092256995808323,0.0,0.0,0
4,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1951075628924137,0.7987768907231034,0.046844482421875,10.523063485348993,0.3408114733751908,0.0,0.0,0
4,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2016292581849504,0.8004073145462376,0.0469970703125,10.503459464652193,0.3415071208730614,0.0,0.0,0
4,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.584852742720866,0.8962131856802165,0.023040771484375,13.051640142079918,0.3823842925568923,2.1293531999981496,0.00864960000035353,7538
4,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2089356317713533,0.8022339079428383,0.045318603515625,10.574328703371322,0.34228646738894436,0.0,0.0,0
4,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5910814304397927,0.8977703576099482,0.023529052734375,12.915069089704518,0.3830486859135779,1.8578545999989728,0.007189299998572096,7538
4,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.160831731500975,0.7902079328752437,0.04833984375,10.207828268211065,0.3371553846934373,0.0,0.0,0
4,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.547486710531298,0.8868716776328245,0.02496337890625,12.509728252289277,0.3783985824566718,1.7219356999994488,0.009199599997373298,7538
4,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2176912309359498,0.8044228077339874,0.044952392578125,10.431015855669376,0.34322039796650133,0.0,0.0,0
4,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2046692784827746,0.8011673196206937,0.045379638671875,10.379177739814565,0.34183138970482935,0.0,0.0,0
5,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.19037693536803,0.7975942338420074,0.0479736328125,10.78896436384197,0.34030687310592317,0.0,0.0,0
5,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.6057840668923986,0.9014460167230997,0.020843505859375,13.404560135767824,0.3846169671351892,1.9597237999987556,0.007600999997521285,7538
5,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1882594550271417,0.7970648637567854,0.04876708984375,10.619482124388334,0.34008100853622847,0.0,0.0,0
5,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2014378388924634,0.8003594597231158,0.045623779296875,10.554139717050186,0.3414867028151961,0.0,0.0,0
5,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1953367424475907,0.7988341856118977,0.047821044921875,10.504252264009814,0.34083591919440975,0.0,0.0,0
5,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5925839360880696,0.8981459840220174,0.023193359375,12.966623882418272,0.3832089531827274,1.7320813000042108,0.007467900002666283,7538
5,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2018778019658867,0.8004694504914717,0.046142578125,10.430327170529186,0.34153363220969457,0.0,0.0,0
5,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5715218268039934,0.8928804567009984,0.023529052734375,12.721839409954168,0.380962328192426,1.858781099996122,0.007533000003604684,7538
5,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2061495574344816,0.8015373893586204,0.047271728515625,10.456227661862798,0.3419892861263447,0.0,0.0,0
5,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5754092249045986,0.8938523062261496,0.023773193359375,12.742918336075293,0.38137698398982384,1.9745330000005197,0.007720499997958541,7538
5,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2136828854835255,0.8034207213708814,0.045745849609375,10.370497976062314,0.34279284111824276,0.0,0.0,0
5,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.202539515217027,0.8006348788042568,0.0460205078125,10.300670575646025,0.3416042149564829,0.0,0.0,0
6,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.1619786677406903,0.7904946669351726,0.05133056640625,10.716256414012138,0.33727772455900695,0.0,0.0,0
6,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.5811110763424763,0.8952777690856191,0.02178955078125,13.312711198185943,0.3819851814765308,2.2367579999990994,0.007907100000011269,7538
6,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2481913967057494,0.8120478491764374,0.044219970703125,10.777662366264362,0.34647374898194666,0.0,0.0,0
6,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.177000537322923,0.7942501343307308,0.048919677734375,10.529929183643446,0.33888005731444515,0.0,0.0,0
6,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.169981850014966,0.7924954625037415,0.04766845703125,10.321368456256499,0.33813139733492975,0.0,0.0,0
6,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5416324613573495,0.8854081153393374,0.0242919921875,12.609788814901384,0.37777412921145065,1.9064663000026485,0.009807499998714775,7538
6,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2259980102870336,0.8064995025717584,0.045440673828125,10.561009923739704,0.34410645443061694,0.0,0.0,0
6,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5994485632926683,0.8998621408231671,0.02215576171875,12.920820803494697,0.3839411800845513,2.664348999998765,0.008592799997131806,7538
6,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.19497813385691,0.7987445334642275,0.047149658203125,10.31889399290545,0.34079766761140373,0.0,0.0,0
6,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5288233083396956,0.8822058270849239,0.026336669921875,12.32462996735669,0.3764078195562342,1.9740333999943687,0.015757599998323712,7538
6,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.179519608932323,0.7948799022330808,0.047882080078125,10.321937531308265,0.33914875828611446,0.0,0.0,0
6,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1943219312061726,0.7985804828015431,0.044830322265625,10.286922446839275,0.3407276726619918,0.0,0.0,0
7,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.1835101059747197,0.7958775264936799,0.049102783203125,10.811344281072724,0.3395744113039701,0.0,0.0,0
7,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.519467520220316,0.879866880055079,0.026397705078125,12.866527513463168,0.37540986882350036,1.8967097000058857,0.00895890000538202,7538
7,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2183795944813633,0.8045948986203408,0.047821044921875,10.735064597489227,0.34329382341134546,0.0,0.0,0
7,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2121990652678383,0.8030497663169596,0.04620361328125,10.570818454914615,0.34263456696190275,0.0,0.0,0
7,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1918140878051418,0.7979535219512854,0.04754638671875,10.478179860084433,0.34046016936588186,0.0,0.0,0
7,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.5703697800870016,0.8925924450217504,0.02435302734375,12.856707565251229,0.3808394432092802,2.1658410000018193,0.012761300000420306,7538
7,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.196931502096526,0.7992328755241315,0.04693603515625,10.464586137881128,0.3410060268902961,0.0,0.0,0
7,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.590685657247443,0.8976714143118607,0.0225830078125,12.858408594256844,0.38300647010639394,2.2996617000026163,0.007502499996917322,7538
7,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.186760116045627,0.7966900290114067,0.047576904296875,10.42143675264951,0.3399210790448669,0.0,0.0,0
7,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.583209682737361,0.8958024206843402,0.02349853515625,12.937517307992238,0.38220903282531854,1.974318399996264,0.007530900002166163,7538
7,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2037015422089494,0.8009253855522374,0.045684814453125,10.385843855499866,0.341728164502288,0.0,0.0,0
7,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.203548879806871,0.8008872199517177,0.046234130859375,10.327964700393075,0.34171188051273294,0.0,0.0,0
